date,description,amount
2026-01-02,Swiggy Lunch Box,340
2026-01-03,Uber ride to office,280
2026-01-04,Blinkit Instant Groceries,620
2026-01-05,Netflix Monthly Subscription,649
2026-01-06,Airtel Broadband Fiber Bill,999
2026-01-07,Starbucks Coffee with Team,450
2026-01-08,Amazon Basics Cable & Mouse,1250
2026-01-09,Cult.fit Gym Membership,2500
2026-01-10,Apollo Pharmacy Cough Syrup,380
2026-01-11,Swiggy Weekend Dinner,750
2026-01-12,Uber to Airport,650
2026-01-13,Zepto Quick Essentials,430
2026-01-14,Spotify Premium Individual,119
2026-01-15,Electricity Power Utility Bill,2200
2026-01-17,Zomato Biryani Special,520
2026-01-18,Zara Cotton Linen Shirt,2990
2026-01-20,Swiggy Midnight Snack,290
2026-01-22,Uber cab ride,210
2026-01-24,BookMyShow Movie Tickets PVR,850
2026-01-26,Supermarket Monthly Staples,4200
2026-01-28,Swiggy Family Feast,1850
2026-01-29,HPCL Petrol Refill,1600
2026-02-02,Swiggy Lunch Box,360
2026-02-03,Uber ride to office,290
2026-02-04,Blinkit Household Needs,580
2026-02-05,Netflix Monthly Subscription,649
2026-02-06,Airtel Broadband Fiber Bill,999
2026-02-07,McDonalds Burger Meal,420
2026-02-09,Cult.fit Gym Membership,2500
2026-02-11,Swiggy Dinner Delivery,680
2026-02-12,Uber ride client meeting,340
2026-02-14,Spotify Premium Individual,119
2026-02-15,Electricity Power Utility Bill,2450
2026-02-16,Luxury Dining & Celebration (High Outlier),6800
2026-02-18,Myntra Running Shoes,3499
2026-02-21,BigBasket Weekly Veggies,920
2026-02-23,Swiggy Office Snacks,310
2026-02-25,Shell Fuel Petrol,1750
2026-02-27,Pharmacy Medical Checkup,1150
2026-03-02,Swiggy Lunch Box,350
2026-03-03,Uber ride to office,300
2026-03-05,Netflix Monthly Subscription,649
2026-03-06,Airtel Broadband Fiber Bill,999
2026-03-08,Blinkit Fruits & Milk,490
2026-03-09,Cult.fit Gym Membership,2500
2026-03-10,Amazon Noise Cancelling Headphones,7999
2026-03-12,Zomato Gourmet Dinner,890
2026-03-14,Spotify Premium Individual,119
2026-03-15,Electricity Power Utility Bill,2100
2026-03-17,Uber ride home,310
2026-03-18,Swiggy Quick Meal,270
2026-03-20,Udemy FullStack Web Development Course,599
